ID,slug,name,short_description,long_description,seo_description,base_spirit,category_primary,categories_all,tags,image_url,image_alt,glassware,garnish,technique,difficulty,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,notes,fun_fact,fun_fact_source,metadata_json,ingredients,instructions,,,,
mw_greyhound_001,greyhound,Greyhound,"A sleek, tart highball of vodka and grapefruit juice served over ice.","The Greyhound is the minimalist parent of the Salty Dog, stripping away the salted rim to focus purely on the interplay between vodka and grapefruit. Without the salt to suppress bitterness, the drink offers a sharp, clean profile where the spirit provides backbone to the fruit's natural acidity. It is a mid-century staple that relies entirely on the quality of the grapefruit juice. Built in the glass, it is as refreshing as it is simple.","Make a Greyhound cocktail with vodka and fresh grapefruit juice for a tart, refreshing highball.",Vodka,Highball,classic|highball|citrus|two-ingredient,vodka|grapefruit|highball|tart|easy,,A Greyhound in a highball glass with pale pink liquid and a lime wedge.,Highball glass,lime wedge|grapefruit slice,Build,Easy,4,3,6,3,6,3,"Use white grapefruit juice for a sharper, more traditional profile, or ruby red for a sweeter, softer drink.","The Greyhound appears in *Harper's Magazine* as early as 1945, serving as a popular West Coast refresher before the salted Salty Dog variant took over in the 1950s.",Harper's Magazine archives; Imbibe,{},2 oz vodka|4 oz fresh grapefruit juice,1. Fill a highball glass with ice. 2. Add vodka and grapefruit juice. 3. Stir gently to combine. 4. Garnish with a lime wedge.,,,,
mw_balalaika_001,balalaika,Balalaika,"A crisp, citrusy vodka sour balancing lemon and orange liqueur.","The Balalaika is essentially a vodka Sidecar or White Lady, swapping the base spirit for a neutral canvas that highlights the orange liqueur and lemon. This substitution creates a cleaner, sharper sour where the citrus aromatics are not competing with oak or juniper. It was a fixture of mid-century hotel bars, representing the era's shift toward smoother, lighter spirits. Served up, it is elegant, tart, and structurally precise.","Shake a Balalaika with vodka, Cointreau, and lemon juice for a classic mid-century sour.",Vodka,Sour,classic|sour|vodka|hotel-bar,vodka|orange-liqueur|lemon|sour|classic,,A Balalaika served in a chilled coupe with a lemon twist.,Coupe,lemon twist,Shake,Easy,6,4,6,1,7,5,"Ensure a hard shake to provide proper aeration and dilution, which softens the sharp citrus edges.","Named after the traditional triangular Russian string instrument, the drink fits into the 20th-century trend of giving Russian names to any cocktail containing vodka.",Savoy Cocktail Book; mid-century bar menus,{},2 oz vodka|1 oz Cointreau or triple sec|1 oz fresh lemon juice,"1. Add vodka, Cointreau, and lemon juice to a shaker with ice. 2. Shake vigorously until well chilled. 3. Strain into a chilled coupe. 4. Garnish with a lemon twist.",,,,
mw_russian_spring_punch_001,russian-spring-punch,Russian Spring Punch,"A vibrant, sparkling highball with vodka, lemon, raspberry liqueur, and Champagne.","The Russian Spring Punch is a modern classic that bridges the gap between a Collins and a fruit punch. It enriches a vodka sour base with the deep berry notes of crème de cassis before lengthening it with sparkling wine. The result is effervescent, fruity, and sophisticated, with a visual appeal that made it a hit in 1990s London. It demonstrates how vodka can anchor a complex, layered drink without muting the other ingredients.","Make a Russian Spring Punch with vodka, crème de cassis, and sparkling wine for a festive modern classic.",Vodka,Sparkling,modern-classic|sparkling|party|berry,vodka|cassis|champagne|sparkling|summer,,A tall Russian Spring Punch with a blackberry and lemon slice garnish.,Highball glass,lemon slice|blackberry,Build,Moderate,5,5,5,1,7,6,Use a high-quality crème de cassis to avoid an artificial sugary finish.,"Created by legendary bartender Dick Bradsell in London in the 1980s, the drink was reportedly designed to be affordable enough for friends to buy in rounds while still feeling luxurious.",Dick Bradsell archives; PunchDrink,{},1 oz vodka|0.5 oz crème de cassis|0.75 oz fresh lemon juice|0.25 oz simple syrup|Sparkling wine to top,"1. Shake vodka, cassis, lemon juice, and syrup with ice. 2. Strain into a highball glass filled with fresh ice. 3. Top with sparkling wine. 4. Garnish with a lemon slice and blackberry.",,,,
mw_woo_woo_001,woo-woo,Woo Woo,"A fun, fruity disco-era highball of vodka, peach schnapps, and cranberry.","The Woo Woo is a quintessential 1980s party drink that pairs vodka with the era's defining ingredient: peach schnapps. Cranberry juice adds necessary tartness and a vivid red hue, preventing the peach from becoming cloying. While often dismissed as a novelty, a well-made version balances sweet stone fruit with crisp acid, functioning as a peach-forward Cape Codder. It represents the playful, accessible side of cocktail history.","Build a Woo Woo with vodka, peach schnapps, and cranberry for a retro 80s favorite.",Vodka,Highball,classic|highball|disco-era|fruit,vodka|peach|cranberry|party|sweet,,A Woo Woo in a highball glass with a lime wedge.,Highball glass,lime wedge,Build,Easy,4,6,5,1,7,4,Do not skimp on the ice; dilution is key to mellowing the schnapps' sweetness.,"The Woo Woo became a massive hit in 1980s nightlife, often cited alongside the Fuzzy Navel as the driver of the peach schnapps boom in American bars.",Imbibe; 1980s bartending guides,{},1.5 oz vodka|0.75 oz peach schnapps|3 oz cranberry juice,1. Fill a highball glass with ice. 2. Add vodka and peach schnapps. 3. Top with cranberry juice. 4. Stir to combine. 5. Garnish with a lime wedge.,,,,
mw_colorado_bulldog_001,colorado-bulldog,Colorado Bulldog,"A fizzy, decadent riff on the White Russian topped with cola.","The Colorado Bulldog takes the rich, creamy template of the White Russian and lifts it with a splash of cola. This addition provides effervescence and a caramel-spice note that cuts through the heavy cream and coffee liqueur. The result is a drink that feels like an adult soda float—creamy, caffeinated, and surprisingly refreshing. It offers a textural contrast missing from its stirred predecessor.","Make a Colorado Bulldog with vodka, coffee liqueur, cream, and a splash of cola.",Vodka,Highball,classic|highball|dessert|creamy,vodka|coffee-liqueur|cola|cream|dessert,,A Colorado Bulldog in a rocks glass with layered cream and bubbles.,Old-fashioned glass,cherry,Build,Easy,4,7,2,2,6,7,Pour the cola slowly to avoid curdling the cream aggressively; a little foam is normal.,"While its exact origins are obscure, the drink became a popular novelty in the 1980s, serving as a lighter, fizzier alternative to the era's heavy cream cocktails.",Difford's Guide; various bar manuals,{},1.5 oz vodka|0.75 oz coffee liqueur|1 oz heavy cream|Cola to top,1. Add vodka and coffee liqueur to a shaker with ice. 2. Shake and strain into a rocks glass filled with fresh ice. 3. Top with cola (leaving room). 4. Float heavy cream on top. 5. Garnish with a cherry.,,,,
mw_transfusion_001,transfusion,Transfusion,"A refreshing golf-club staple mixing vodka, ginger ale, and grape juice.","The Transfusion is a cult classic in American country club culture, combining the bite of ginger ale with the sweet, distinct flavor of Concord grape juice. Vodka acts as the neutral engine, allowing the grape and ginger to blend into a drink that is both hydrating and spirited. Traditionally served in a pint or highball glass, it is designed for long afternoons and easy sipping. The lime garnish adds a crucial pop of acid to balance the sugar.","Mix a Transfusion with vodka, ginger ale, and grape juice for a classic clubhouse cooler.",Vodka,Highball,modern-classic|highball|sporting|refreshing,vodka|grape|ginger-ale|golf|summer,,A Transfusion in a pint glass with purple gradient and a lime wedge.,Highball glass,lime wedge,Build,Easy,4,6,4,1,6,4,Use Concord grape juice for the authentic flavor profile; wine grapes don't provide the same nostalgia.,"Despite its ubiquity on golf courses across the US, the Transfusion has virtually no documented origin story, existing almost entirely as an oral tradition among golfers and club bartenders.",Golf Digest; PunchDrink,{},2 oz vodka|0.5 oz lime juice|2 oz Concord grape juice|Ginger ale to top,"1. Fill a highball or pint glass with ice. 2. Add vodka, lime juice, and grape juice. 3. Top with ginger ale. 4. Stir gently to mix. 5. Garnish with a lime wedge.",,,,
mw_barbara_001,barbara,Barbara,"A lush, chocolatey dessert cocktail from the Savoy era.","The Barbara is a decadent digestif that pairs vodka with crème de cacao and cream, differing from the Brandy Alexander by using a neutral base. This allows the pure chocolate flavor of the liqueur to shine without the dried-fruit interference of brandy. It is a smooth, velvety sipper that relies on the richness of the cream for texture. The drink represents the early 20th-century fascination with creamy, liqueur-driven cocktails.","Shake a Barbara with vodka, crème de cacao, and cream for a silky chocolate dessert drink.",Vodka,Dessert,classic|dessert|creamy|savoy,vodka|chocolate|cream|after-dinner|classic,,A Barbara in a chilled coupe dusted with nutmeg.,Coupe,nutmeg,Shake,Easy,4,7,1,1,7,8,"Use white crème de cacao for a snow-white look, or dark for a richer mocha color.","The recipe appears in the 1930 *Savoy Cocktail Book*, showcasing that vodka was present, if rare, in high-end European bars long before the American vodka boom.",Savoy Cocktail Book,{},1.5 oz vodka|0.75 oz crème de cacao|0.75 oz heavy cream,"1. Add vodka, crème de cacao, and cream to a shaker with ice. 2. Shake vigorously to aerate the cream. 3. Strain into a chilled coupe. 4. Garnish with freshly grated nutmeg.",,,,
mw_tovarich_001,tovarich,Tovarich,"A sharp, herbal sour balancing vodka with the caraway punch of Kümmel.","The Tovarich is a bold, savory-leaning sour that uses Kümmel—a caraway and cumin liqueur—to give character to the vodka base. Lime juice cuts through the liqueur's intense spice, creating a drink that is aromatic, dry, and distinctly European. It serves as a fascinating example of how bartenders in the 1930s tried to give the neutral spirit a specific regional identity. The flavor profile is closer to an Aquavit cocktail than a modern fruit sour.","Shake a Tovarich with vodka, Kümmel, and lime for a unique caraway-spiced sour.",Vodka,Sour,classic|sour|herbal|savoy,vodka|kummel|lime|caraway|savory|classic,,A Tovarich served up in a coupe with a lime twist.,Coupe,lime twist,Shake,Moderate,6,3,6,2,9,5,Kümmel is potent; measure carefully to prevent it from overpowering the lime.,"The name means 'Comrade' in Russian, reflecting the 1930s trend of assigning Soviet-themed names to vodka cocktails regardless of their actual origin.",Savoy Cocktail Book; vintage bar manuals,{},1.5 oz vodka|0.5 oz Kümmel|0.5 oz fresh lime juice,"1. Add vodka, Kümmel, and lime juice to a shaker with ice. 2. Shake well to chill and dilute. 3. Strain into a chilled cocktail glass. 4. Garnish with a lime twist.",,,,
mw_czarina_001,czarina,Czarina,"An elegant, stone-fruit aperitif mixing vodka, dry vermouth, and apricot brandy.","The Czarina is a sophisticated stirred cocktail that treats vodka like gin, pairing it with dry vermouth and the lush sweetness of apricot brandy. The result is a dry, aromatic drink with a soft fruit finish, similar to an apricot martini. Bitters add a necessary spine to ground the sweetness. It is a refined, spirit-forward option that highlights vodka's ability to carry delicate fruit flavors without masking them.","Stir a Czarina with vodka, dry vermouth, and apricot brandy for a refined aperitif.",Vodka,Spirit-Forward,classic|spirit-forward|aperitif|fruit,vodka|vermouth|apricot|stirred|classic,,A Czarina in a Nick & Nora glass with an orange twist.,Nick and Nora glass,orange twist,Stir,Moderate,8,4,2,2,7,7,"Ensure the apricot brandy is a high-quality liqueur, not a sugary syrup, to maintain the drink's dry balance.","Like the Tovarich and Balalaika, the Czarina appears in the *Savoy Cocktail Book*, part of a trio of 'Russian' themed drinks that introduced vodka to the London palate.",Savoy Cocktail Book,{},1.5 oz vodka|0.75 oz dry vermouth|0.75 oz apricot brandy|1 dash Angostura bitters,"1. Add vodka, vermouth, apricot brandy, and bitters to a mixing glass with ice. 2. Stir until well chilled. 3. Strain into a chilled Nick & Nora glass. 4. Garnish with an orange twist.",,,,
mw_vodka_rickey_001,vodka-rickey,Vodka Rickey,"A bone-dry highball of vodka, lime, and soda water.","The Vodka Rickey is the driest of the highballs, omitting sugar entirely to focus on the tartness of lime and the clean bite of the spirit. Unlike the Collins, which is sweet and lemonade-like, the Rickey is crisp, savory, and extremely refreshing. The vodka acts purely as a vehicle for the lime and carbonation. It is a traditional hot-weather cooler for those who prefer their drinks without any cloying sweetness.","Build a Vodka Rickey with vodka, fresh lime, and soda for a sugar-free cooler.",Vodka,Highball,classic|highball|sugar-free|dry,vodka|lime|soda|dry|summer,,A Vodka Rickey in a highball glass with a lime half-shell dropped in.,Highball glass,lime half-shell,Build,Easy,4,0,7,1,5,3,Squeeze the lime half directly into the glass and drop the shell in; the oils from the peel are essential to the flavor.,"While the original Rickey was made with bourbon in Washington D.C. in the 1880s, the vodka variation became a quiet staple for diet-conscious drinkers in the late 20th century.",Imbibe; Washington D.C. cocktail history,{},2 oz vodka|0.5 oz fresh lime juice|4 oz soda water,1. Fill a highball glass with ice. 2. Squeeze the lime juice into the glass and drop in the spent shell. 3. Add vodka. 4. Top with soda water and stir briefly.,,,,
mw_flame_of_love_001,flame-of-love,Flame of Love,A sherry-laced vodka martini defined by roasted orange oils.,"The Flame of Love is a theatrical variation of the Vodka Martini that substitutes vermouth for a rinse of Fino sherry and uses an excessive amount of flamed orange peels. This technique coats the glass and spirit in burnt citrus oils, creating a smoky, aromatic profile without the heaviness of whiskey. It represents the height of mid-century Hollywood dining, designed specifically to flatter the neutrality of vodka with pyrotechnic aromatics.","Stir a Flame of Love with vodka, sherry, and flamed orange peels for a Hollywood classic.",Vodka,Spirit-Forward,classic|spirit-forward|hollywood|aromatic,vodka|sherry|orange|flamed|dinner,,A Flame of Love in a coupe with no solid garnish but an oily sheen on the surface.,Coupe,flamed orange peels (discarded),Stir,Advanced,9,1,1,2,9,7,"You must flame the peels over the empty glass first, then again over the finished drink; standard expression is not enough.","Pepe Ruiz created this drink at Chasen's in Beverly Hills for Dean Martin, who allegedly loved it so much he bought a round for the entire restaurant.",Chasen's archives; Imbibe,{},2.5 oz vodka|0.25 oz Fino sherry|3-4 strips of orange peel,1. Rinse a chilled coupe with Fino sherry and discard excess. 2. Flame several orange peels into the empty glass to coat it with oils. 3. Stir vodka with ice until freezing cold. 4. Strain into the prepared coupe. 5. Flame one final peel over the top and discard all fruit.,,,,
mw_vodka_gibson_001,vodka-gibson,Vodka Gibson,A savory Vodka Martini distinguished by a pickled onion garnish.,"The Vodka Gibson swaps the traditional olive or twist for a cocktail onion, fundamentally shifting the drink's profile from briny or citrusy to savory and umami-driven. While the gin version is more common historically, the vodka base allows the sharp tang of the onion brine to stand out clearly. It is a stark, crisp cocktail that appeals to drinkers who find the olive's saltiness too aggressive but still want a savory edge.","Stir a Vodka Gibson with vodka, dry vermouth, and a cocktail onion.",Vodka,Spirit-Forward,classic|spirit-forward|savory|martini-family,vodka|vermouth|onion|savory|classic,,A clear Vodka Gibson in a cocktail glass with a white pearl onion.,Cocktail glass,cocktail onion,Stir,Moderate,9,1,2,1,6,7,Ensure the onions are crisp and high-quality; a soft onion ruins the texture of the experience.,"Charles Dana Gibson, the illustrator of the 'Gibson Girl,' is often credited with the drink's name, allegedly challenging a bartender to improve upon the martini.",House of Lords bar records; Imbibe,{},2.5 oz vodka|0.5 oz dry vermouth|1 cocktail onion,1. Add vodka and dry vermouth to a mixing glass with ice. 2. Stir until well chilled. 3. Strain into a chilled cocktail glass. 4. Garnish with a cocktail onion.,,,,
mw_vodka_stinger_001,vodka-stinger,Vodka Stinger,"A crisp, minty after-dinner drink mixing vodka and white crème de menthe.","The Vodka Stinger modernizes the brandy-based classic by using vodka to strip away the dried-fruit warmth, leaving a piercingly cold, mint-forward profile. It functions as a powerful palate cleanser, with the vodka adding alcoholic weight to the sweet, cooling liqueur. Unlike the brandy version which feels like a nightcap, the vodka variation reads sharper and more bracing. It was a favorite of high-society drinkers in the mid-20th century.",Shake a Vodka Stinger with vodka and white crème de menthe for a cooling digestif.,Vodka,Digestif,classic|digestif|mint|duo,vodka|creme-de-menthe|mint|after-dinner,,A Vodka Stinger in a rocks glass over crushed ice.,Old-fashioned glass,mint sprig (optional),Shake,Easy,7,6,1,1,9,6,Serve over crushed ice ('frappé') to maximize the cooling effect of the mint.,"The Stinger was the favored nightcap of New York's upper class in the 1950s, often called the 'nightcap of the rich' before vodka became the standard base.","Wondrich, Imbibe!; Esquire archives",{},2 oz vodka|1 oz white crème de menthe,1. Add vodka and crème de menthe to a shaker with ice. 2. Shake vigorously. 3. Strain into a rocks glass filled with crushed ice. 4. Garnish with a mint sprig if desired.,,,,
